Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
67,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00941153LZ,"Rehabilitation of Flood Mitigation Structure, Barangay Telbang, Alaminos City, Pangasinan",Rehabilitation / Major Repair of Flood Control Structure,2025,25AG0078,4950000,4850385.71,2025-05-14,GED CONSTRUCTION,2025-02-21,16.09684657,119.96915518,4850385.71,82
689,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00921211LZ,"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",Construction of Flood Mitigation Structure,2025,25EG0013,14700000,14669999.48,2025-05-19,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,2025-02-05,9.55414,118.61825,14669999.48,103
916,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),CITY OF ALAMINOS (PANGASINAN),Pangasinan 1st District Engineering Office,P00941152LZ,"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",Construction of Flood Mitigation Structure,2025,25AG0077,4950000,4850666.92,2025-05-21,GED CONSTRUCTION,2025-02-10,16.356031,120.433852,4850666.92,100
1220,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),CITY OF TARLAC (CAPITAL) (TARLAC),Tarlac District Engineering Office,P00921064LZ,"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",Construction of Slope Protection Structure,2025,25CJ0124,14700000,14229719.67,2025-05-22,BIG BERTHA CONSTRUCTION & DEVELOPMENT,2025-01-27,15.42745556,120.6139639,14229719.67,115
1409,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),MONCADA (TARLAC),Tarlac District Engineering Office,P00921065LZ,"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",Rehabilitation / Major Repair of Slope Protection Structure,2025,25CJ0129,14700000,14700000,2025-04-16,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,2025-01-27,15.716535,120.570923,14700000.0,79
1455,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),RAMOS (TARLAC),Tarlac District Engineering Office,P00920485LZ,"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0038,72375000,70167867.76,2025-04-18,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,2025-02-11,15.68280833,120.6284056,70167867.76,66
1491,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),CITY OF TARLAC (CAPITAL) (TARLAC),Tarlac District Engineering Office,P00941410LZ,"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0127,24125000,24125000,2025-03-19,WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.,2025-02-17,15.47860833,120.6347417,24125000.0,30
1644,Region IV-A,BATANGAS (FIRST LEGISLATIVE DISTRICT),TUY (BATANGAS),Batangas 1st District Engineering Office,P00941618LZ,"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",Construction of Flood Mitigation Structure,2025,25DB0048,4900000,4753000,2025-05-19,830 BUILDERS & DEVELOPERS CORP.,2025-03-03,13.996941,120.706502,4753000.0,77
1731,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),MONCADA (TARLAC),Tarlac District Engineering Office,P00921066LZ,"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",Rehabilitation / Major Repair of Slope Protection Structure,2025,25CJ0132,14700000,14700000,2025-05-19,T2B3 BUILDERS AND SUPPLIES CORP.,2025-01-27,15.748532,120.59788,14700000.0,112
1908,Region III,TARLAC (FIRST LEGISLATIVE DISTRICT),RAMOS (TARLAC),Tarlac District Engineering Office,P00921072LZ,"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",Construction of Flood Mitigation Structure,2025,25CJ0031,49000000,47496290.56,2025-04-16,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),2025-01-27,15.68414167,120.6398,47496290.56,79
2034,Region III,NUEVA ECIJA (SECOND LEGISLATIVE DISTRICT),SCIENCE CITY OF MUÑOZ (NUEVA ECIJA),Nueva Ecija 1st District Engineering Office,P00921035LZ,"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CE0056,9800000,9701851.92,2025-04-07,IJK MAE CONSTRUCTION INC.,2025-02-11,15.676996,120.853281,9701851.92,55
2085,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),SAN ISIDRO (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921788LZ,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Calaba, San Isidro, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0004,34299998.36,34128123.18,2025-03-25,TRIPLE S BUILDERS INC.,2025-02-11,15.303961,120.868675,34128123.18,42
2360,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),JAEN (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921446LZ,"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",Rehabilitation / Major Repair of Flood Control Structure,2025,25CF0039,96499998.78,96013671.84,2025-04-24,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,2025-02-20,15.382,120.921,96013671.84,63
2655,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),SAN ISIDRO (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921786LZ,"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0006,48999997.85,48754753.43,2025-04-25,"R.A. PAHATI CONST. & SUPPLY, INC.",2025-02-11,15.311522,120.894051,48754753.43,73
2701,Region III,NUEVA ECIJA (FOURTH LEGISLATIVE DISTRICT),SAN ISIDRO (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921485LZ,"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0028,96499900.04,96017500.53,2025-04-24,F-DEY CONSTRUCTION AND TRADING,2025-02-20,15.309594,120.925073,96017500.53,63
2933,Region III,NUEVA ECIJA (THIRD LEGISLATIVE DISTRICT),CABANATUAN CITY (NUEVA ECIJA),Nueva Ecija 2nd District Engineering Office,P00921492LZ,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",Construction of Flood Mitigation Structure,2025,25CF0012,96499925.01,95052371.1,2025-05-23,CELSO C. FERRER  CONSTRUCTION CORP.,2025-02-20,15.500144,120.949206,95052371.1,92
3060,National Capital Region,MANILA CITY (THIRD LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920012LZ,"Installation of Booster Pump at Estero de San Miguel, Package 1b, Manila City",Construction of Flood Mitigation Facility,2025,25OE0030,96499337.35,94675499.87,2025-05-22,EIGHT J'S CONSTRUCTION SERVICES / GENECOR CONSTRUCTION SUPPLIES TRADING,2025-02-12,14.597053,120.990623,94675499.87,99
3104,National Capital Region,MANILA CITY (FOURTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00941129LZ,"Rehabilitation of Drainage Structure, Phase 5, Zone 41-57, Manila City",Rehabilitation / Major Repair of Drainage Structure,2025,25OE0103,4949922.56,4798989.63,2025-04-21,LE BRON CONSTRUCTION,2025-02-17,14.608914,120.994234,4798989.63,63
3218,National Capital Region,MANILA CITY (THIRD LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00922881LZ,"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",Construction of Flood Mitigation Facility,2025,25OE0081,38599649.79,37962740.47,2025-04-20,A.M. SALONG CONSTRUCTION,2025-03-12,14.599387,120.979339,37962740.47,39
3264,National Capital Region,MANILA CITY (FOURTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920054LZ,"Upgrading of Recto Pumping Station, Manila City",Construction of Flood Mitigation Facility,2025,25OE0041,48249769.2,47322508.07,2025-04-02,JJPR CONSTRUCTION SERVICES,2025-02-12,14.603366,120.985038,47322508.07,49
3287,National Capital Region,MANILA CITY (FOURTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920053LZ,"Upgrading of Lerma Pumping Station, Manila City",Construction of Flood Mitigation Facility,2025,25OE0042,48249977.78,47318052.55,2025-04-02,JJPR CONSTRUCTION SERVICES,2025-02-12,14.605061,120.98691,47318052.55,49
3479,National Capital Region,MANILA CITY (THIRD LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920010LZ,"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",Construction of Flood Mitigation Facility,2025,25OE0029,96499677.39,94714433.36,2025-05-21,EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES,2025-02-11,14.60288,120.97274,94714433.36,99
3713,National Capital Region,MANILA CITY (SECOND LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920747LZ,"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",Construction of Flood Mitigation Structure,2025,25OE0101,14699517.08,14552258.16,2025-04-21,XIEH CONSTRUCTION,2025-02-11,14.6264,120.96638,14552258.16,69
3923,National Capital Region,MANILA CITY (SECOND LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),North Manila District Engineering Office,P00920745LZ,"Installation of Pump Accessories along Estero de Magdalena, Tondo, Manila City",Construction of Flood Mitigation Facility,2025,25OE0027,48999896.41,48015187.82,2025-03-12,GOLDEN J'S CONSTRUCTION SERVICES,2025-02-14,14.608219,120.97724,48015187.82,26
3999,National Capital Region,MANILA CITY (SIXTH LEGISLATIVE DISTRICT),CITY OF MANILA (METROPOLITAN MANILA),South Manila District Engineering Office,P00920131LZ,"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",Construction of Flood Mitigation Facility,2025,25OH0006,138959615,137222334.81,2025-05-06,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,2025-03-03,14.579709,121.004299,137222334.81,64
4357,Region IV-B,ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT),CITY OF CALAPAN (CAPITAL) (ORIENTAL MINDORO),Mindoro Oriental District Engineering Office,P00921803LZ,"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",Construction of Flood Mitigation Structure,2025,25ED0055,19600000,19299949.9,2025-05-27,CEFF TRADING & ENGINEERING SERVICES,2025-03-13,13.319722,121.2058333,19299949.9,75
4625,Region IV-B,ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT),CITY OF CALAPAN (CAPITAL) (ORIENTAL MINDORO),Mindoro Oriental District Engineering Office,P00921195LZ,"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",Construction of Flood Mitigation Structure,2025,25ED0020,49000000,48999976.56,2025-04-14,MINDALIFI CONSTRUCTION AND SUPPLY,2025-02-12,13.327222,121.227778,48999976.56,61
5800,Region IV-B,ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT),NAUJAN (ORIENTAL MINDORO),Mindoro Oriental District Engineering Office,P00921190LZ,"Construction of Drainage System, Mag-Asawang Tubig RIS, Naujan, Oriental Mindoro",Construction of Drainage Structure,2025,25ED0075,14700000,14699999.28,2025-05-26,CEFF TRADING & ENGINEERING SERVICES / JUWAWI CORPORATION,2025-02-18,12.1541667,122.00916667,14699999.28,97
6587,Region VII,NEGROS ORIENTAL (THIRD LEGISLATIVE DISTRICT),SANTA CATALINA (NEGROS ORIENTAL),Negros Oriental 3rd District Engineering Office,P00920324VS,"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",Construction of Flood Mitigation Structure,2025,25HL0025,49000000,48852510,2025-04-22,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,2025-02-19,9.421111,122.942778,48852510.0,62
7650,Region VII,MANDAUE CITY (LEGISLATIVE DISTRICT),MANDAUE CITY (CEBU),Cebu 6th District Engineering Office,P00920070VS,"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",Construction of Flood Mitigation Structure,2025,25HN0043,72375000,72325000,2025-04-28,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),2025-02-21,10.343448,123.971079,72325000.0,66
7813,Region VII,CEBU (SIXTH LEGISLATIVE DISTRICT),CONSOLACION (CEBU),Cebu 6th District Engineering Office,P00936038VS,"Construction of Drainage Structure, Barangay Sacsac, Consolacion, Cebu",Construction of Drainage Structure,2025,25HN0034,4950000,4939190.15,2025-05-27,XLA CONSTRUCTION,2025-02-17,10.397052,123.928082,4939190.15,99
8258,Region XII,SOUTH COTABATO (SECOND LEGISLATIVE DISTRICT),SANTO NIÑO (SOUTH COTABATO),South Cotabato 2nd District Engineering Office,P00920429MN,"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",Construction of Flood Mitigation Structure,2025,25MG0034,14700000,14689979.39,2025-04-25,MFN BUILDERS,2025-02-28,6.4368862,124.6363267,14689979.39,56
9007,Region XII,SOUTH COTABATO (THIRD LEGISLATIVE DISTRICT),GENERAL SANTOS CITY (DADIANGAS) (SOUTH COTABATO),South Cotabato 1st District Engineering Office,P00935912MN,"Construction of Drainage Structure, Camia Street, Barangay Dadiangas East, General Santos City",Construction of Drainage Structure,2025,25MB0023,4950000,4939993.97,2025-05-12,BAYTORR CONSTRUCTION AND DEVELOPMENT CORPORATION,2025-03-14,6.114249,125.178912,4939993.97,59
9054,Region XIII,AGUSAN DEL NORTE (FIRST LEGISLATIVE DISTRICT),BUTUAN CITY (CAPITAL) (AGUSAN DEL NORTE),Butuan City District Engineering Office,P00920380MN,"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",Construction of Flood Mitigation Structure,2025,25ND0048,96455183.12,96158174.5,2025-05-30,RAMISES CONSTRUCTION,2025-02-12,8.9394159,125.543115,96158174.5,107
9447,Region XIII,SURIGAO DEL SUR (FIRST LEGISLATIVE DISTRICT),TAGO (SURIGAO DEL SUR),Surigao del Sur 1st District Engineering Office,P00935921MN,"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",Construction of Drainage Structure,2025,25NH0035,4950000,4934983.08,2025-04-23,CRJ CONST AND DEVELOPMENT INC,2025-02-19,9.035,126.21028,4934983.08,63
1,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824759LZ,"Construction of Babuyan River Flood Control Strucure Downstream (RS), Palawan",Construction of Flood Mitigation Structure,2024,24EG0058,17963475,17961569.07,2024-05-23,AZARRAGA CONSTRUCTION,2024-02-15,9.99653,118.89245,17961569.07,98
2,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824758LZ,"Construction of Flood Control Strucurue along Langogan River Downstream (LS), Palawan",Construction of Flood Mitigation Structure,2024,24EG0057,17370000,17369992.99,2024-07-19,AZARRAGA CONSTRUCTION,2024-02-23,9.99761,118.89251,17369992.99,147
3,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824750LZ,"Construction of Babuyan River Flood Control Strucure Upstream (LS), Palawan",Construction of Flood Mitigation Structure,2024,24EG0017,18335000,16802607.63,2024-07-24,F.F. GALANG CONSTRUCTION,2024-02-23,9.99671,118.89323,16802607.63,152
5,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00823565LZ,"Construction of Tanabag River Waterway, (Upstream Rightside), Palawan",Construction of Flood Mitigation Structure,2024,24E00127,154399999.99,154395357.94,2024-09-05,OCTAGON CONCRETE SOLUTIONS INC. / MAC BUILDERS CORP. (FORMERLY: MAC BUILDERS DEVELOPMENT CORPORATION),2024-03-09,9.99904334,118.99017684,154395357.94,180
6,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824756LZ,"Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan",Construction of Flood Mitigation Structure,2024,24EG0055,17370000,17369997.4,2024-09-17,MAINTIN CONSTRUCTION & SUPPLY,2024-02-15,10.02967,119.12203,17369997.4,215
7,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824757LZ,"Construction of Flood Control Strucuruealong Langogan River Upstream (RS), Palawan",Construction of Flood Mitigation Structure,2024,24EG0056,17370000,16120415.26,2024-06-25,LOUIESE TRADING AND CONSTRUCTION,2024-02-23,10.02881,119.12383,16120415.26,123
8,Region IV-B,PALAWAN (THIRD LEGISLATIVE DISTRICT),PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824760LZ,"Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan",Construction of Flood Mitigation Structure,2024,24EG0059,17370000,17370000,2024-09-13,TAGUSAO CONSTRUCTION & TRADING INC. (FORMERLY: TAGUSAO CONSTRUCTION & TRADING),2024-02-15,10.02751,119.12416,17370000.0,211
10,Region I,PANGASINAN (THIRD LEGISLATIVE DISTRICT),SANTA BARBARA (PANGASINAN),Pangasinan 4th District Engineering Office,P00821520LZ,"Construction of Slope Protection along Sinucalan River, Barangay Poblacion Norte, Sta. Barbara, Pangasinan",Construction of Flood Mitigation Structure,2024,24A00250,48250000,48248598.38,2024-09-23,ALCEL CONSTRUCTION,2024-03-07,16.006788,120.400763,48248598.38,200
11,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),ROXAS (ISABELA),Palawan 1st District Engineering Office,P00820974LZ,"Construction of Flood Control Structure along Tulariquin River (RS), Roxas, Palawan",Construction of Flood Mitigation Structure,2024,24EE0036,48249976.12,48249914.4,2024-12-11,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC. / F.F. GALANG CONSTRUCTION,2024-05-20,10.147,119.21562,48249914.4,205
12,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),ROXAS (ISABELA),Palawan 1st District Engineering Office,P00820979LZ,"Construction of Slope Protection Structure along Tagumpay Bridge, Roxas, Palawan",Construction of Flood Mitigation Structure,2024,24EE0020,44099975.3,44095477.55,2024-10-15,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC. / SEVEN DIGIT CONSTRUCTION AND TRUCKING SERVICES CORP. (FORMERLY: SEVEN DIGIT CONSTRUCTION & SUPPLIES),2024-02-14,10.27601,119.22557,44095477.55,244
14,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),ROXAS (ISABELA),Palawan 1st District Engineering Office,P00844779LZ,"Construction/Improvement of Storm Drainage System at Purok Zambales, Brgy. 3, Roxas, Palawan",Construction of Drainage Structure,2024,24EE0113,9899934.12,9784647.85,2024-12-20,M.G.M. CONSTRUCTION,2024-03-18,10.32404,119.34648,9784647.85,277
15,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),ROXAS (ISABELA),Palawan 1st District Engineering Office,P00820975LZ,"Construction of Slope Protection Structure along Iraan Bridge, Roxas, Palawan",Construction of Flood Mitigation Structure,2024,24EE0017,44099956.7,44097536.12,2024-10-15,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC. / SEVEN DIGIT CONSTRUCTION AND TRUCKING SERVICES CORP. (FORMERLY: SEVEN DIGIT CONSTRUCTION & SUPPLIES),2024-02-14,10.42931,119.37435,44097536.12,244
17,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),EL NIDO (BACUIT) (PALAWAN),Palawan 1st District Engineering Office,P00820977LZ,"Construction of Slope Protection Structure along Lamoro Bridge 1, El Nido, Palawan",Construction of Flood Mitigation Structure,2024,24EE0074,44099949.37,44097774.54,2024-11-19,AR LUSTRE CONSTRUCTION CORPORATION (FORMERLY:A.R. LUSTRE JR. CONSTRUCTION) / A.R.L. CONSTRUCTION,2024-02-14,11.19344,119.41688,44097774.54,279
20,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),TAYTAY (RIZAL),Palawan 1st District Engineering Office,P00820972LZ,"Construction of Abongan CIS Drainage Canal, Taytay, Palawan",Construction of Drainage Structure,2024,24EE0101,19599983.05,19598517.1,2024-10-28,REINASTAR TRADING AND CONSTRUCTION SUPPLY,2024-02-14,10.68633,119.46259,19598517.1,257
22,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),TAYTAY (RIZAL),Palawan 1st District Engineering Office,P00820412LZ,"Construction of Slope Protection Structure along Balite Bridge, Taytay, Palawan",Construction of Flood Mitigation Structure,2024,24EE0055,96499945.21,96499967.12,2024-08-27,JASMIG CONSTRUCTION CORPORATION (FORMERLY: JASMIG CONSTRUCTION SUPPLY),2024-02-14,10.64284,119.496278,96499967.12,195
23,Region IV-B,PALAWAN (FIRST LEGISLATIVE DISTRICT),TAYTAY (RIZAL),Palawan 1st District Engineering Office,P00820414LZ,"Construction of Slope Protection Structure along Talog Bridge, Taytay, Palawan",Construction of Flood Mitigation Structure,2024,24EE0054,96499980.15,96499998.63,2024-09-20,JASMIG CONSTRUCTION CORPORATION (FORMERLY: JASMIG CONSTRUCTION SUPPLY),2024-02-14,10.64781,119.50026,96499998.63,219
24,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00843194LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Boboy Section), Sta. 000+180 - Sta. 000+610, Barangay Boboy, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0137,96500000,96500000,2024-09-25,VILLAR GENERAL CONSTRUCTION AND SUPPLIES / RANIA CONSTRUCTION AND SUPPLIES,2024-04-08,16.132714,119.778189,96500000.0,170
25,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00843195LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Boboy Section), Sta. 000+610 - Sta. 001+040, Barangay Boboy, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0138,96500000,96500000,2024-09-25,RANIA CONSTRUCTION AND SUPPLIES / JHI CONSTRUCTION & SUPPLY,2024-04-08,16.134808,119.781525,96500000.0,170
27,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00820714LZ,"Construction of Flood Mitigation Facilities along Balingcaguing River (Aloleng Section), Sta. 002+059 - Sta. 002+303, Barangay Aloleng, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0017,49000000,49000000,2024-05-03,JONIK TRADING & CONSTRUCTION,2024-02-05,16.131694,119.787876,49000000.0,88
28,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00820122LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Aloleng Section), Sta. 002 + 896.6 - Sta. 003 + 296.6, Barangay Aloleng, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0112,96500000,96500000,2024-12-17,SAMANTHA ENTERPRISES / ALCEL CONSTRUCTION,2024-04-19,16.12825392,119.78811258,96500000.0,242
29,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00820127LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+848 - Sta. 002+278, Barangay Poblacion West, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0015,96500000,96500000,2024-08-27,ALCEL CONSTRUCTION,2024-02-12,16.128628,119.78954,96500000.0,197
30,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00820126LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+418 - Sta. 001+848, Barangay Poblacion West, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0014,96500000,96500000,2025-01-09,RAMDC CONSTRUCTION AND TRADING / ALCEL CONSTRUCTION,2024-02-14,16.124765,119.790688,96500000.0,330
32,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00820715LZ,"Construction of Flood Mitigation Facilities along Balingcaguing River (Poblacion East Section), Sta. 003+436 - Sta. 003+680, Barangay Poblacion East, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0018,49000000,49000000,2024-10-16,JONIK TRADING & CONSTRUCTION,2024-02-05,16.113559,119.799836,49000000.0,254
34,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),AGNO (PANGASINAN),Pangasinan 1st District Engineering Office,P00820123LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Bangan-Oda Section), Sta. 007+850 - Sta. 008+250, Barangay Bangan-Oda, Agno, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0012,96500000,96500000,2025-03-03,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,2024-02-23,16.108686,119.829299,96500000.0,374
36,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),MABINI (PANGASINAN),Pangasinan 1st District Engineering Office,P00820124LZ,"Construction of Flood Mitigation Structure along Balingcaguing River (Caranglaan Section), Sta. 017+829 - Sta. 018+229, Barangay Caranglaan, Mabini, Pangasinan",Construction of Flood Mitigation Structure,2024,24AG0013,96500000,96500000,2024-04-23,ALCEL CONSTRUCTION,2024-02-12,16.0883,119.8757,96500000.0,71
38,Region I,PANGASINAN (FIRST LEGISLATIVE DISTRICT),MABINI (PANGASINAN),Pangasinan 1st District Engineering Office,P00823306LZ,"Construction of Slope Protection Structure along Balingcaguing River (Caranglaan Section), Sta.017+092 - Sta. 017+457, Caranglaan, Mabini, Pangasinan",Construction of Slope Protection Structure,2024,24AG0113,96500000,96500000,2025-02-12,IGWT-JAV CONSTRUCTION & DEVELOPMENT CORPORATION,2024-04-19,16.082542,119.886445,96500000.0,299
