Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
7108,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00740443LZ,"Construction of Cagsawa Ruins Protection Dike, (Tributary ''D''), Daraga, Albay",Construction of Dike,2023,23FB0099,72373544.13,72373476.66,2023-09-30,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,2023-04-19,13.16689502,123.69688387,72373476.66,164
7111,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00737377LZ,"Construction of Dike along Busay River (Upstream of Bridge), Daraga, Albay",Construction of Dike,2023,23FB0025,67548487.89,67548347.27,2023-09-15,"AJAN JEADA, INC. (FORMERLY: JEADA CONSTRUCTION)",2023-02-27,13.16256615,123.69754556,67548347.27,200
7112,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00737378LZ,"Construction of Dike along Busay River (Downstream), Daraga, Albay",Construction of Dike,2023,23FB0026,57898485.71,57898423.68,2023-08-31,"AJAN JEADA, INC. (FORMERLY: JEADA CONSTRUCTION)",2023-02-27,13.16280098,123.69786541,57898423.68,185
7115,Region V,SORSOGON (FIRST LEGISLATIVE DISTRICT),CITY OF SORSOGON (CAPITAL) (SORSOGON),Sorsogon District Engineering Office,P00742487LZ,"Rehabilitation of Burabod River Control, Brgy. Burabod, Sorsogon City, Sorsogon",Construction of Flood Mitigation Structure,2023,23FK0089,54449963.17,9557940.64,2024-03-05,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / CHEEREL CONSTRUCTION & SUPPLY,2023-07-18,12.973156,124.00567,9557940.64,231
7116,Region VII,CEBU (FIRST LEGISLATIVE DISTRICT),MINGLANILLA (CEBU),Cebu 1st District Engineering Office,P00721671VS,"Construction of Drainage System along N Bacalso Ave, Minglanilla, Cebu",Construction of Drainage Structure,2023,23HE0092,9800000,9780000,2023-11-14,AR ADLAWAN CONSTRUCTION,2023-05-04,10.247227,123.800357,9780000.0,194
7119,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),CITY OF TABACO (ALBAY),Albay 1st District Engineering Office,P00727203LZ,"Construction of Mariroc Flood Mitigation Structure, Tabaco City",Construction of Flood Mitigation Structure,2023,23FA0036,Clustered with Contract ID 23FA0036,20580000,2023-11-06,"CAJUGOTAN BUILDERS AND DEVELOPMENT CORP. (FOR: CAJUGOTAN CONSTRUCTION & SUPPLY) / DSB CONSTRUCTION  & SUPPLY, INC. (FORMERLY: DSB CO",2023-05-15,13.34802925,123.70046588,20580000.0,175
7121,Region X,MISAMIS OCCIDENTAL (FIRST LEGISLATIVE DISTRICT),PLARIDEL (MISAMIS OCCIDENTAL),Misamis Occidental 1st District Engineering Office,P00721377MN,"Construction of Seawall at the Storm Surge Prone Coastal, Plaridel, Misamis Occidental",Construction of Flood Mitigation Structure,2023,23KI0017,49000000,47529998.48,2023-09-14,MINDANAO ROCK,2023-02-26,8.6274768,123.7041086,47529998.48,200
7126,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00740669LZ,"Construction of River Bank Protection Works and Drainage System along Bascaran-Talahib River, Daraga, Albay",Construction of Dike,2023,23FB0098,48676181.97,48675979.44,2023-10-01,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,2023-04-05,13.09876804,123.70582399,48675979.44,179
7127,Region V,MASBATE (FIRST LEGISLATIVE DISTRICT),SAN JACINTO (MASBATE),Masbate 1st District Engineering Office,P00736134LZ,"Construction of Flood Mitigation Structure along Brgy. Sta. Rosa and Brgy. Burgos, San Jacinto, Masbate",Construction of Flood Mitigation Structure,2023,23F00163,48249895.41,48249895.41,2024-04-02,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,2023-07-13,12.569686,123.706058,48249895.41,264
7128,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),MALILIPOT (ALBAY),Albay 1st District Engineering Office,P00740473LZ,"Construction of River Dike at barangay Canaway, Malilipot, Albay",Construction of Flood Mitigation Structure,2023,23FA0021,96499978.52,96500000,2023-12-26,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,2023-04-12,13.32611938,123.70670529,96500000.0,258
7131,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00726969LZ,"Construction/Upgrading/Rehabilitation of Flood Mitigation System at Barangay Busay to Barangay Cullat - Malobago River, Daraga, Albay",Construction of Dike,2023,23FB0114,72373558.73,72373340.99,2023-12-18,QDC CONSTRUCTION AND SUPPLY / 3RB CONSTRUCTION & SUPPLY,2023-04-17,13.158426,123.708412,72373340.99,245
7134,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),MALINAO (ALBAY),Albay 1st District Engineering Office,P00726622LZ,"Construction of Quinale ''B'' River Flood Mitigation Structure, Malinao, Albay",Construction of Flood Mitigation Structure,2023,23F00003,144748972.13,144748972.13,2023-12-15,MAKAPA CORPORATION,2023-03-30,13.411122,123.709894,144748972.13,260
7135,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00740658LZ,"Construction of Flood Mitigation Structures along Busay-Cullat Malobago River, Daraga, Albay",Construction of Dike,2023,23FB0116,24498553.59,24498279.9,2023-07-28,"AJAN JEADA, INC. (FORMERLY: JEADA CONSTRUCTION)",2023-04-17,13.158,123.71,24498279.9,102
7136,Region VII,CEBU (FOURTH LEGISLATIVE DISTRICT),MADRIDEJOS (CEBU),Cebu 4th District Engineering Office,P00721544VS,"Construction of Tabagak-Bunakan Seawall, Madridejos, Cebu",Construction of Flood Mitigation Structure,2023,23H00039,96500000,96499608.51,2023-12-14,WTG CONSTRUCTION & DEVELOPMENT CORPORATION / ROVILLA CONSTRUCTION,2023-02-20,11.25871257,123.71142288,96499608.51,297
7137,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00736142LZ,"Construction of Flood Control Dike and Slope Protection along Mariawa-Anislag (Phase II), Daraga, Albay",Construction of Dike,2023,23FB0065,48178611.02,48178149.83,2023-12-24,"RCDS CONSTRUCTION & SUPPLY, INC.(FOR RCDS CONST.",2023-07-03,13.07949,123.713318,48178149.83,174
7138,Region V,MASBATE (FIRST LEGISLATIVE DISTRICT),SAN FERNANDO (MASBATE),Masbate 1st District Engineering Office,P00726294LZ,"Construction of Flood Mitigation Structure at Bito River (Upstream), Brgy. Buenos Aires, San Fernando, Masbate",Construction of Flood Mitigation Structure,2023,23FM0011,23520000,23519999.15,2024-02-02,KYLA CONSTRUCTION SUPPLY,2023-04-09,12.49528,123.7136,23519999.15,299
7141,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),MALINAO (ALBAY),Albay 1st District Engineering Office,P00727208LZ,"Rehabilitation of Baybay Seawall, Malinao, Albay",Rehabilitation / Major Repair of Flood Control Structure,2023,23FA0034,118739934.64,2940000,2024-03-06,"DSB CONSTRUCTION  & SUPPLY, INC. (FORMERLY: DSB CO",2023-05-15,13.40743333,123.7143472,2940000.0,296
7144,Region VII,CEBU (THIRD LEGISLATIVE DISTRICT),BALAMBAN (CEBU),Cebu 3rd District Engineering Office,P00721767VS,"Construction of Flood Mitigation Structure at Combado River, (Nangka Side), Barangay Cantuod, Balamban, Cebu",Construction of Flood Mitigation Structure,2023,23HF0016,67550000,67451959,2023-10-20,HELM CONSTRUCTION & SUPPLIES,2023-02-09,10.518753,123.714459,67451959.0,253
7145,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),DARAGA (LOCSIN) (ALBAY),Albay 2nd District Engineering Office,P00742472LZ,"Construction of Dike along Brgy. Kilikao to Yawa River Channel Daraga, Albay",Construction of Dike,2023,23FB0108,29698522.26,29698072.37,2023-08-17,JEJAN CONSTRUCTION AND SUPPLY(FOR. JEJAN CONSTRUCT,2023-04-10,13.15839613,123.71486633,29698072.37,129
7147,Region V,ALBAY (SECOND LEGISLATIVE DISTRICT),MANITO (ALBAY),Albay 2nd District Engineering Office,P00726976LZ,"Construction of Flood Control System (Purok 1, 2, 3 and 6), Kilicao Daraga, Albay",Construction of Dike,2023,23FB0113,72373550.87,72373461.51,2023-10-22,CBC CONSTRUCTION & SUPPLY,2023-04-10,13.158484,123.715189,72373461.51,195
